wl,n
0.996,4.12510
0.997,4.12419
0.998,4.12329
0.999,4.12238
1.000,4.12147
1.001,4.12056
1.002,4.11965
1.003,4.11874
1.004,4.11783
1.005,4.11692
1.006,4.11600
1.007,4.11509
1.008,4.11418
1.009,4.11326
1.010,4.11235
1.011,4.11144
1.012,4.11052
1.013,4.10961
1.014,4.10869
1.015,4.10778
1.016,4.10686
1.017,4.10595
1.018,4.10503
1.019,4.10412
1.020,4.10320
1.021,4.10229
1.022,4.10138
1.023,4.10046
1.024,4.09955
1.025,4.09863
1.026,4.09772
1.027,4.09681
1.028,4.09589
1.029,4.09498
1.030,4.09407
1.031,4.09316
1.032,4.09225
1.033,4.09133
1.034,4.09042
1.035,4.08951
1.036,4.08860
1.037,4.08770
1.038,4.08679
1.039,4.08588
1.040,4.08497
1.041,4.08407
1.042,4.08316
1.043,4.08225
1.044,4.08135
1.045,4.08045
1.046,4.07954
1.047,4.07864
1.048,4.07774
1.049,4.07684
1.050,4.07594
1.051,4.07504
1.052,4.07414
1.053,4.07325
1.054,4.07235
1.055,4.07145
1.056,4.07056
1.057,4.06967
1.058,4.06877
1.059,4.06788
1.060,4.06699
1.061,4.06610
1.062,4.06521
1.063,4.06435
1.064,4.06344
1.065,4.06255
1.066,4.06167
1.067,4.06079
1.068,4.05990
1.069,4.05902
1.070,4.05814
1.071,4.05727
1.072,4.05639
1.073,4.05551
1.074,4.05464
1.075,4.05376
1.076,4.05289
1.077,4.05202
1.078,4.05115
1.079,4.05028
1.080,4.04941
1.081,4.04854
1.082,4.04768
1.083,4.04681
1.084,4.04595
1.085,4.04509
1.086,4.04423
1.087,4.04337
1.088,4.04251
1.089,4.04166
1.090,4.04080
1.091,4.03995
1.092,4.03910
1.093,4.03824
1.094,4.03739
1.095,4.03655
1.096,4.03570
1.097,4.03485
1.098,4.03401
1.099,4.03317
1.100,4.03232
1.101,4.03148
1.102,4.03065
1.103,4.02981
1.104,4.02897
1.105,4.02814
1.106,4.02730
1.107,4.02647
1.108,4.02564
1.109,4.02481
1.110,4.02399
1.111,4.02316
1.112,4.02234
1.113,4.02151
1.114,4.02069
1.115,4.01987
1.116,4.01905
1.117,4.01823
1.118,4.01742
1.119,4.01660
1.120,4.01579
1.121,4.01498
1.122,4.01417
1.123,4.01336
1.124,4.01255
1.125,4.01175
1.126,4.01094
1.127,4.01014
1.128,4.00934
1.129,4.00854
1.130,4.00774
1.131,4.00694
1.132,4.00615
1.133,4.00536
1.134,4.00456
1.135,4.00377
1.136,4.00298
1.137,4.00219
1.138,4.00140
1.139,4.00062
1.140,3.99984
1.141,3.99906
1.142,3.99828
1.143,3.99750
1.144,3.99672
1.145,3.99594
1.146,3.99517
1.147,3.99440
1.148,3.99363
1.149,3.99286
1.150,3.99209
1.151,3.99132
1.152,3.99055
1.153,3.98979
